timeStamps,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718939023895,973,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-1,text,true,,2090,523,2,2,https://backend.portalsiswa.id/api/auth/login/,972,0,594
1718939024564,436,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-2,text,true,,2090,523,2,2,https://backend.portalsiswa.id/api/auth/login/,436,0,72
1718939025009,175,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-2,text,true,,6206,143,2,2,https://manage.portalsiswa.id/assessment-creation,175,0,53
1718939024879,297,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-1,text,true,,6206,143,2,2,https://manage.portalsiswa.id/assessment-creation,297,0,162
1718939025642,380,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-3,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,380,0,20
1718939026025,47,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-3,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,47,0,31
1718939026649,377,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-4,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,377,0,24
1718939027028,61,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-4,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,61,0,46
1718939027669,369,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-5,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,369,0,17
1718939028040,41,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-5,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,41,0,24
1718939028722,361,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-6,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,361,0,12
1718939029086,40,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-6,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,40,0,24
1718939029639,379,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-7,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,379,0,18
1718939030020,37,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-7,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,37,0,21
1718939030720,367,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-8,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,367,0,13
1718939031090,57,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-8,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,56,0,23
1718939031720,382,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-9,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,382,0,26
1718939032104,79,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-9,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,79,0,30
1718939032551,642,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-10,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,642,0,37
1718939033196,35,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-10,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,34,0,21
1718939033719,361,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-11,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,361,0,12
1718939034083,40,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-11,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,40,0,24
1718939034715,375,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-12,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,375,0,11
1718939035092,37,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-12,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,37,0,23
1718939035732,367,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-13,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,367,0,12
1718939036102,35,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-13,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,35,0,20
1718939036591,370,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-14,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,370,0,18
1718939036963,35,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-14,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,35,0,21
1718939037623,387,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-15,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,386,0,28
1718939038012,55,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-15,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,55,0,21
1718939038617,369,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-16,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,369,0,19
1718939038988,407,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-16,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,407,0,31
1718939039718,367,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-17,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,367,0,14
1718939040088,36,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-17,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,36,0,19
1718939040629,367,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-18,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,367,0,15
1718939040998,39,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-18,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,39,0,21
1718939041687,381,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-19,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,381,0,19
1718939042070,180,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-19,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,180,0,31
1718939042660,383,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-20,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,383,0,31
1718939043045,40,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-20,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,40,0,21
1718939044700,369,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-22,text,true,,2090,523,2,2,https://backend.portalsiswa.id/api/auth/login/,369,0,13
1718939043722,1375,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-21,text,true,,2090,523,2,2,https://backend.portalsiswa.id/api/auth/login/,1375,0,1017
1718939045071,52,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-22,text,true,,6206,143,2,2,https://manage.portalsiswa.id/assessment-creation,51,0,28
1718939045099,63,manage.portalsiswa.id/assessment-creation,200,OK,Thread Group 1-21,text,true,,6206,143,1,1,https://manage.portalsiswa.id/assessment-creation,63,0,48
1718939045629,390,backend.portalsiswa.id/api/auth/login/,200,OK,Thread Group 1-23,text,true,,2090,523,1,1,https://backend.portalsiswa.id/api/auth/login/,390,0,14
